filename,artist,title,year,label,subtitle
"Leonardo Rosi - Ma Tu [Italy] Soul, Funk, Easy Listening (198？).flac",Leonardo Rosi,Ma Tu Soul,,,
Let's Hide Away.mp3,,Let's Hide Away,,,
Leucozyt - Sonntagmorgen [Germany] Psych Jazz (1982).flac,Leucozyt,Sonntagmorgen,1982,,
Lewis Berry - What Am I Gonna Do About It.flac,Lewis Berry,What Am I Gonna Do About It,,,
Light In Darkness - Serpent 🇯🇵 1999.mp3,Light In Darkness,Serpent ,1999,,
Local DJ - U R The Best.flac,Local DJ,U R The Best,,,
Love Remembered.mp3,,Love Remembered,,,
Loveshadow - Firmed Up (Rumo Immaginari 01).flac,Loveshadow,Firmed Up (Rumo Immaginari 01),,,
MC G Mex - Bliss.flac,MC G Mex,Bliss,,,
Madcap - Prime Mover.flac,Madcap,Prime Mover,,,
Maine Kaha Tha Mat Jao Tum.mp3,,Maine Kaha Tha Mat Jao Tum,,,
Mais Kriola (Yuksek Remix).mp3,,Mais Kriola (Yuksek Remix),,,
Malcolm Moore - Interstate 80.flac,Malcolm Moore,Interstate 80,,,
Manee - Superstar (D's Straight Vocal Mix).flac,Manee,Superstar (D's Straight Vocal Mix),,,
Masami Tsuchiya - Alexis.flac,Masami Tsuchiya,Alexis,,,
"Masayoshi Takanaka - Santigo Bay Rendez-Vous (Japan, 1983).flac",Masayoshi Takanaka,Santigo Bay Rendez-Vous ,1983,,
"Medusa Smile - Konrad Black, Ghostman, Tiga.flac",Medusa Smile,"Konrad Black, Ghostman, Tiga",,,
Mega Banton - Money First (P.A. mix).flac,Mega Banton,Money First (P.A. mix),,,
"Michael Bierylo - Life Line [US] Balearic Ambient, Psych Folk (1986).flac",Michael Bierylo,Life Line,1986,,
Millos Kaiser - Tela Quente (Edit).flac,Millos Kaiser,Tela Quente (Edit),,,
"Mishio Ogawa (小川美潮) - Thread of Light, Thread of Yarn (光の糸　金の糸).flac",Mishio Ogawa (小川美潮),"Thread of Light, Thread of Yarn (光の糸 金の糸)",,,
Moscow Groove Institute - Tanzi Motanzi.flac,Moscow Groove Institute,Tanzi Motanzi,,,
N Zone - Genie (Jus' Raw Mix).flac,N Zone,Genie (Jus' Raw Mix),,,
Naked Eyes - Promises Promises (1983).flac,Naked Eyes,Promises Promises,1983,,
Neon Phusion  - Blue Tektra (Restless Soul Peak Time Mix).flac,Neon Phusion,Blue Tektra (Restless Soul Peak Time Mix),,,
New Musical Testament - Shamiso.flac,New Musical Testament,Shamiso,,,
Nick Jones - Virgo [The Master Blaster Project].flac,Nick Jones,Virgo,,The Master Blaster Project,
No White Peaks (1991) - Peter Cushing.flv.flac,No White Peaks,Peter Cushing,1991,,
Nomari.mp3,,Nomari,,,
Nu-Sense - F.U.C.K (The Club joint).flac,Nu-Sense,F.U.C.K (The Club joint),,,
Observer - Lotion (Stars 1997 instrumental version).flac,Observer,Lotion (Stars instrumental version),1997,,
Off Peak - Baby It's You (Instrumental).flac,Off Peak,Baby It's You (Instrumental),,,
Off Peak - Untiltled - B2.flac,Off Peak,Untiltled - B2,,,
Oh Yaaro Kaun Nachdi (Sweet Mix).mp3,,Oh Yaaro Kaun Nachdi (Sweet Mix),,,
Omformer - Molecular Contemplations.mp3,Omformer,Molecular Contemplations,,,
On - Come Go With Me.mp3,On,Come Go With Me,,,
On les zapp'l.mp3,,On les zapp'l,,,
One Dove - White Love (Weatheralls Meet The Professionals Dub).mp3,One Dove,White Love (Weatheralls Meet The Professionals Dub),,,
Onyx - Why Can't You (Inst.).mp3,Onyx,Why Can't You (Inst.),,,
Opa - Pieces.mp3,Opa,Pieces,,,
Optimystic - Trust Me (Instrumental).mp3,Optimystic,Trust Me (Instrumental),,,
Orbital - Satan (Industry Standard).mp3,Orbital,Satan (Industry Standard),,,
Oreku - Indo Radio.mp3,Oreku,Indo Radio,,,
Organized Pleasure - Tropical Stumble.mp3,Organized Pleasure,Tropical Stumble,,,
Original (Remastered).mp3,,Original (Remastered),,,
Orixàs - Iffa Ganga.mp3,Orixàs,Iffa Ganga,,,
Other people's money - One Giant Step.mp3,Other people's money,One Giant Step,,,
Out There - Friends Of Matthew (1991).mp3,Out There,Friends Of Matthew,1991,,
Outbar – Away From The Heat (Sacha Mambo Edit).mp3,Outbar,Away From The Heat (Sacha Mambo Edit),,,
Outer Heaven - Untitled Jungle.mp3,Outer Heaven,Untitled Jungle,,,
Overflow - Take The Chance.mp3,Overflow,Take The Chance,,,
"P'cock - Telephone Song (Germany, 1983).mp3",P'cock,Telephone Song ,1983,,
P.O - On The Radio [OPIA007].mp3,P.O,On The Radio,,OPIA007,
P.P. Arnold - A Little Pain (Instrumental).mp3,P.P. Arnold,A Little Pain (Instrumental),,,
P.U.M.P.  – Barabajagal (Love Is Hot) (Proctor Indulgent Mix).flac,P.U.M.P.,Barabajagal (Love Is Hot) (Proctor Indulgent Mix),,,
PFM - The Western (original mix).mp3,PFM,The Western (original mix),,,
PJ - Elysian Fields (1995).mp3,PJ,Elysian Fields ,1995,,
PM² Featuring Abby – Africa (Ambient remix).mp3,PM² Featuring Abby,Africa (Ambient remix),,,
PREMIERE ｜ Eiger Drums Propaganda - Astral Lights [Macadam Mambo] 2019.mp3,Eiger Drums Propaganda,Astral Lights,2019,Macadam Mambo,PREMIERE
PREMIERE： DJ SCM - Estoi Totalmente Loca (Loca Mix).mp3,DJ SCM,Estoi Totalmente Loca (Loca Mix),,,PREMIERE
PREMIERE： Massimiliano Pagliara - Avenue Of The Palms (Sunset Mix) [Permanent Vacation].mp3,Massimiliano Pagliara,Avenue Of The Palms (Sunset Mix),,Permanent Vacation,PREMIERE
PREMIERE： Wolfram - Automatic Dub (Cabletoy Remix) [Public Possession].mp3,Wolfram,Automatic Dub (Cabletoy Remix),,Public Possession,PREMIERE
PULSUM - I Remember.mp3,PULSUM,I Remember,,,
Paap Niang - Axiru Zaman (1986).flac,Paap Niang,Axiru Zaman,1986,,
Pablo Color & Berlin Lama - Recuerdos.mp3,Pablo Color & Berlin Lama,Recuerdos,,,
Pacific - Compassion (Equitorial).mp3,Pacific,Compassion (Equitorial),,,
Pais Tropical -- Melodya (Club Mix).mp3,Pais Tropical,Melodya (Club Mix),,,
Panama Cut - Dancing Girl (FS Basic Rhythm Mix).mp3,Panama Cut,Dancing Girl (FS Basic Rhythm Mix),,,
Pancratio - Hypnotic Response [OTTA3].mp3,Pancratio,Hypnotic Response,,OTTA3,
Pap - Is it Finished ？ [Human Disease Network].mp3,Pap,Is it Finished ？,,Human Disease Network,
Paradis 'Hémisphère' (Beats In Space).mp3,Paradis,Hémisphère,,Beats In Space,
Paradise 3001 - Low sun in dub - (Sunspots).mp3,Paradise 3001,Low sun in dub ,,Sunspots,
Paris Bis - Unis Dans La Nuit Unique.flac,Paris Bis,Unis Dans La Nuit Unique,,,
Paris Bis - Unis Dans La Nuit Unique.mp3,Paris Bis,Unis Dans La Nuit Unique,,,
"Paris Bizarre - Black And Blue (Really Blue) (Sweden, 1985).flac",Paris Bizarre,Black And Blue (Really Blue) ,1985,,
Paris Bizarre - Black And Blue (Really Blue).mp3,Paris Bizarre,Black And Blue (Really Blue),,,
Parsec - Transmutation.mp3,Parsec,Transmutation,,,
Passarani - Exit Velocity.mp3,Passarani,Exit Velocity,,,
Passion (Naked Edit).mp3,Passion,Passion (Naked Edit),,,
Passion Theatre - Vacation Day.mp3,Passion Theatre,Vacation Day,,,
Pasteur Lappe - The Sekele Movement.mp3,Pasteur Lappe,The Sekele Movement,,,
"Pat Kelly - Getting There (UK, 1980).mp3",Pat Kelly,Getting There ,1980,,
Patrick Conway - Hypersocial [ESP054].mp3,Patrick Conway,Hypersocial,,ESP054,
Patrick Michaud - Crazy.mp3,Patrick Michaud,Crazy,,,
Patternclear - Dreamscape.mp3,Patternclear,Dreamscape,,,
Paul J. Marcus - Viens-Tu Danser ？ (Instrumental).mp3,Paul J. Marcus,Viens-Tu Danser ？ (Instrumental),,,
Paul Jones - Strangely Human Sound (UK 1971).mp3,Paul Jones,Strangely Human Sound ,1971,,
Paula TAPE - Playa Frenesi.mp3,Paula TAPE,Playa Frenesi,,,
Pawel's Bar - Pawel's Band.mp3,Pawel's Bar,Pawel's Band,,,
Pearl's Girl (Remastered).mp3,Pearl's,Pearl's Girl (Remastered),,,
Peggy Gou - Nabi (feat. OHHYUK).mp3,Peggy Gou,Nabi (feat. OHHYUK),,,
Pejzaż - Bałtyk (Freux Remix).mp3,Pejzaż,Bałtyk (Freux Remix),,,
Penelope's Fiance - overwhelming odds (A Decision to be taken).mp3,Penelope's Fiance,overwhelming odds (A Decision to be taken),,,
Per Cussion - Manhattan Jungle (Remix).mp3,Per Cussion,Manhattan Jungle (Remix),,,
Percy X - X Trak 1 (1994).mp3,Percy X,X Trak 1 ,1994,,
Perko - Pippin.mp3,Perko,Pippin,,,
Peter Sarstedt - You're a Lady (1971) (Cozy Powell).mp3,Peter Sarstedt,You're a Lady (Cozy Powell),1971,,
Phenaphen #3.mp3,,Phenaphen #3,,,
Phil Western╭ ╯Stay Clean.mp3,Phil Western,Stay Clean,,,
Philipp Boss - Eurotheme (Virtual Version) [ACTIVO001].mp3,Philipp Boss,Eurotheme (Virtual Version),,ACTIVO001,
Philippe Eidel - Canal+ (Le Jour) (1984).mp3,Philippe Eidel,Canal+ (Le Jour),1984,,
Photek - Modus Operandi.mp3,Photek,Modus Operandi,,,
Photek - Neptune.mp3,Photek,Neptune,,,
Photek - Rings Around Saturn.mp3,Photek,Rings Around Saturn,,,
Photek - T'Raenon.mp3,Photek,T'Raenon,,,
Picture Music - Bus Stop Dawn.mp3,Picture Music,Bus Stop Dawn,,,
Picture Music - Hauptbahnhof.mp3,Picture Music,Hauptbahnhof,,,
Pierre-Édouard-Décimus - Karaïb.flac,Pierre-Édouard-Décimus,Karaïb,,,
Piglet - Move Closer (Quiel Mix).mp3,Piglet,Move Closer (Quiel Mix),,,
Pillar Of Salt - Let's Be Free (pitch +6) (UK).mp3,Pillar Of Salt,Let's Be Free (pitch +6) ,,,
Pillow Queen - Submission [DR001].mp3,Pillow Queen,Submission,,DR001,
Pills - J'me Sens Bien (Groovy Mix).mp3,Pills,J'me Sens Bien (Groovy Mix),,,
Pinky – I Wanna Be The One (Dub Mix).mp3,Pinky,I Wanna Be The One (Dub Mix),,,
Pit Troja - Der Voodoo Mann.mp3,Pit Troja,Der Voodoo Mann,,,
Pizzicato Five - Top Secrets.mp3,Pizzicato Five,Top Secrets,,,
Planet Ha Ha - Home (full 7＂).mp3,Planet Ha Ha,Home (full 7＂),,,
Planisphere - New Moon.mp3,Planisphere,New Moon,,,
Plastic Dance Band - Breaks On A Beach (Drugstore Cowboy Mix).mp3,Plastic Dance Band,Breaks On A Beach (Drugstore Cowboy Mix),,,
Plastic Paradise - Neighborhood Watch Patrol ｜ Telomere Plastic [2020].mp3,Plastic Paradise,Telomere Plastic ,2020,,
Plastic Surprise -  Disco Express.mp3,Plastic Surprise,Disco Express,,,
Plazmot - Orot Levanim (Video edit).mp3,Plazmot,Orot Levanim (Video edit),,,
Poesie Noire - I Didn't Ask (Boombastic Beat Mix).mp3,Poesie Noire,I Didn't Ask (Boombastic Beat Mix),,,
Poly Chain - Max For Death [Die Orakel].mp3,Poly Chain,Max For Death,,Die Orakel,
Portable Sunsets - If.mp3,Portable Sunsets,If,,,
Pourquoi Pas – Africa Lady.mp3,Pourquoi Pas,Africa Lady,,,
Power Packed Mega Mix.mp3,,Power Packed Mega Mix,,,
Preludio - Mysterious Nights.mp3,Preludio,Mysterious Nights,,,
Principles Of Lust： Sadeness ⧸ Find Love ⧸ Sadeness (Reprise).mp3,Principles Of Lust,Sadeness ⧸ Find Love ⧸ Sadeness (Reprise),,,
Priori - Bite Soft.mp3,Priori,Bite Soft,,,
Priori - Infinity.mp3,Priori,Infinity,,,
Private Press & Mutual Attraction – B1.003.flac,Private Press & Mutual Attraction,B1.003,,,
Problematic - Electrify Me @ -6.flac,Problematic,Electrify Me @ -6,,,
"Prodelay - Dopesun (Germany, 1999).mp3",Prodelay,Dopesun ,1999,,
Pupa Curly - Crack Is A Killer (Dub) [Edit].mp3,Pupa Curly,Crack Is A Killer (Dub),,,
Purity 0%.mp3,,Purity 0%,,,
Purple Pinguin - So High.flac,Purple Pinguin,So High,,,
Quaid - Cascade.mp3,Quaid,Cascade,,,
Quasar - Welcome In Paradise (Heaven's Ascent) [PMX 12061].mp3,Quasar,Welcome In Paradise (Heaven's Ascent),,PMX 12061,
Quazar -   Above & Below.mp3,Quazar,Above & Below,,,
Quidam - You N Me.mp3,Quidam,You N Me,,,
Quiet Force - Listen To The Music (For Love And... Emotions).mp3,Quiet Force,Listen To The Music (For Love And... Emotions),,,
Quiet Village - Pillow Talk.mp3,Quiet Village,Pillow Talk,,,
Quinteto Zen - Primenta E Cachaca.mp3,Quinteto Zen,Primenta E Cachaca,,,
R. E. A. L. M.╭ ╯Numbering Connectives.mp3,R. E. A. L. M.,Numbering Connectives,,,
"R.A.P.P. feat- Archie Poole - Guns,Bombs,Handgrenades (1982).vinyl rip.mp3",R.A.P.P. feat- Archie Poole,"Guns,Bombs,Handgrenades ",1982,,
RAMZi - For Vanda.mp3,RAMZi,For Vanda,,,
RAS - Pharoah ⧸ Zman Halal.mp3,RAS,Pharoah ⧸ Zman Halal,,,
RELINQUISHED - SHADOWBOXER I.mp3,RELINQUISHED,SHADOWBOXER I,,,
RIK ＂Rendezvous＂.mp3,RIK,Rendezvous,,,
ROMAIN FX ＂Tantric Magic＂.mp3,ROMAIN FX,Tantric Magic,,,
ROÜGE - Fire Keeper [Khoinix].mp3,ROÜGE,Fire Keeper,,Khoinix,
Radart - Trip Planet.flac,Radart,Trip Planet,,,
Rah Band ... Is Anybody There ... 1978.mp3,Rah Band,Is Anybody There,1978,,
Raikes Parade - Take A Nibble.mp3,Raikes Parade,Take A Nibble,,,
Rama - Black Plait Dub.mp3,Rama,Black Plait Dub,,,
Ramin - I Can't Understand (33+8).mp3,Ramin,I Can't Understand (33+8),,,
Ramon & Theo - A wet summernight (DUB).mp3,Ramon & Theo,A wet summernight (DUB),,,
Ran-Dell - No Sleep Tonite (Music Mix).mp3,Ran-Dell,No Sleep Tonite (Music Mix),,,
Rap'N House (1988) - Packjammed (With The Party Posse).mp3,Rap'N House ,Packjammed (With The Party Posse),1988,,
Rapagnol - La Manille (Instrumental).mp3,Rapagnol,La Manille (Instrumental),,,
Raudie - Now The Spark Has Flown.mp3,Raudie,Now The Spark Has Flown,,,
Red Zone - Use Your Voice Aquatic Mix.mp3,Red Zone,Use Your Voice Aquatic Mix,,,
Redeye  - Resort Annexia.mp3,Redeye,Resort Annexia,,,
Regularfantasy - Believe That.mp3,Regularfantasy,Believe That,,,
Remanisance.flac,,Remanisance,,,
Remus - unknown - untitled (remus edit).mp3,Remus,unknown - untitled (remus edit),,,
Renaissance - Ashes Are Burning.mp3,Renaissance,Ashes Are Burning,,,
Renée - Lay me down.mp3,Renée,Lay me down,,,
Reset - Pickpocket (Håkan Lidbo Remix).mp3,Reset,Pickpocket (Håkan Lidbo Remix),,,
Reverie.mp3,,Reverie,,,
Rhythm Plate - New Roots.flac,Rhythm Plate,New Roots,,,
Rhythmic Union - Song of Busoga.mp3,Rhythmic Union,Song of Busoga,,,
"Richard Denton And Martin Cook - Tomorrow's World (BBC, UK 1980).mp3",Richard Denton And Martin Cook,Tomorrow's World ,1980,,
Richard Hawley - The Nights Are Cold.mp3,Richard Hawley,The Nights Are Cold,,,
Richard Prince - Loud Song.mp3,Richard Prince,Loud Song,,,
Richard Sen & Cazbee - On Da Run.mp3,Richard Sen & Cazbee,On Da Run,,,
Richenel - Autumn (Alt Version).mp3,Richenel,Autumn (Alt Version),,,
Rick & Nando - Clima Bom.mp3,Rick & Nando,Clima Bom,,,
Rick Asikpo - Money Money Money.mp3,Rick Asikpo,Money Money Money,,,
Rico Casazza -Purplewave (No Moon Remix).mp3,Rico Casazza,Purplewave (No Moon Remix),,,
Ricotti & Alburquerque - Don't You Believe Me.mp3,Ricotti & Alburquerque,Don't You Believe Me,,,
"Rinlew Allstars - Didn't Want A Lot, Did Ya？ (Soul) (1979).mp3",Rinlew Allstars,"Didn't Want A Lot, Did Ya？ (Soul) ",1979,,
Road 2 Freedom - How Much I Care (Club Mix).flac,Road 2 Freedom,How Much I Care (Club Mix),,,
Road to the West.mp3,,Road to the West,,,
Robert Manos - Faith (Bonus Groove).flac,Robert Manos,Faith (Bonus Groove),,,
Robert Miles - Paths [FSOL Remix].mp3,Robert Miles,Paths (FSOL Remix),,,
Rock Master Scott & The Dynamic Three - Request Line (Full Vocal).mp3,Rock Master Scott & The Dynamic Three,Request Line (Full Vocal),,,
Roland Bocquet - Paradia.mp3,Roland Bocquet,Paradia,,,
Romance.mp3,,Romance,,,
Romie Singh - Cry Freedom (Short).mp3,Romie Singh,Cry Freedom (Short),,,
Ron Trent - Sweet Chocolate.flac,Ron Trent,Sweet Chocolate,,,
Ronald Langestraat - Lowdown.mp3,Ronald Langestraat,Lowdown,,,
Ronnie Hazlehurst - Tomorrow Is Now.flac,Ronnie Hazlehurst,Tomorrow Is Now,,,
Room With A View.mp3,,Room With A View,,,
Roughly Norm & Sorta Sean - Fashion Love.flac,Roughly Norm & Sorta Sean,Fashion Love,,,
Round One - I'm Your Brother (Club Version).mp3,Round One,I'm Your Brother (Club Version),,,
Roy Of The Ravers -- Ichi.mp3,Roy Of The Ravers,Ichi,,,
Roza Terenzi & Hame DJ - Pinky's Network.mp3,Roza Terenzi & Hame DJ,Pinky's Network,,,
"Ruby Desire - Bad Girls (Dub Version) (Belgium, 1987).mp3",Ruby Desire,Bad Girls (Dub Version),1987,,
Rudy's Midnight Machine - Midnight Safari.mp3,Rudy's Midnight Machine,Midnight Safari,,,
Ruf Dug 'MV Look' (Porn Wax).mp3,Ruf Dug,MV Look (Porn Wax),,,
Russell Lassig - Oracle 🇦🇮 1989.mp3,Russell Lassig,Oracle,1989,,
Ryan James Ford - Death Awaits (Live Dub).flac,Ryan James Ford,Death Awaits (Live Dub),,,
"Rüdiger Oppermann - Troubadix' Rache Part B (Troubadix in Africa) (45 RPM) (Germany, 1990).mp3",Rüdiger Oppermann,Troubadix' Rache Part B (Troubadix in Africa) (45 RPM) ,1990,,
S A D E  -  Is  It  A  Crime (vinyl).mp3,S A D E,Is It A Crime (vinyl),,,
S. Dee - Ooghouse [Step 2 House Records].mp3,S. Dee,Ooghouse,,Step 2 House Records,
SAS - Amber Groove.mp3,SAS,Amber Groove,,,
SEUL ENSEMBLE - P.D.G. [SOUTHFRAP ALLIANCE].mp3,SEUL ENSEMBLE,P.D.G.,,SOUTHFRAP ALLIANCE,
